Income,Debt_Ratio,Class
4370.86107,3.142918569,1
9556.428758,63.64104113,1
7587.945476,31.43559811,0
6387.926358,50.85706912,1
2404.167764,90.75664739,0
2403.950683,24.92922291,1
1522.75251,41.0382923,1
8795.585312,75.55511385,1
6410.035106,22.87981655,0
7372.6532,7.697990983,0
1185.260449,28.97514529,1
9729.188669,16.12212873,0
8491.983767,92.96976523,1
2911.051996,80.81203796,0
2636.424705,63.34037565,0
2650.640589,87.14605902,0
3738.180187,80.36720769,0
5722.807885,18.65700589,0
4887.505168,89.25589985,0
3621.062262,53.93422419,0
6506.676053,80.74401552,1
2255.444746,89.60912999,0
3629.301837,31.8003475,1
4297.25659,11.00519245,1
5104.629858,22.79351625,1
8066.583653,42.71077886,0
2797.064039,81.80147659,0
5628.109946,86.07305833,1
6331.73112,0.695213053,0
1418.053714,51.07473026,0
6467.903667,41.74110031,0
2534.717113,22.21078105,1
1585.464337,11.98653673,1
9539.969835,33.76151714,0
9690.688298,94.29097039,1
8275.576133,32.3202932,0
3741.523923,51.87906217,0
1879.049026,70.30189589,0
7158.097239,36.36296024,0
4961.372444,97.17820827,0
2098.344114,96.24472949,0
5456.592191,25.17822958,1
1309.49669,49.72485059,1
9183.883619,30.08783098,0
3329.019834,28.48404944,1
6962.700559,3.688694735,0
3805.399685,60.9564334,0
5680.612191,50.26790232,1
5920.392514,5.147875125,0
2663.6901,27.86464642,1
9726.26165,90.8265886,1
7976.19541,23.95618907,0
9455.490474,14.48948721,0
9053.446154,48.94527603,0
6381.099809,98.56504541,1
9296.868115,24.20552715,0
1796.432518,67.21355474,0
2763.845762,76.16196153,0
1407.0456,23.7637544,1
3927.972977,72.82163486,0
4498.095607,36.77831327,1
3442.141286,63.23058306,0
8458.637582,63.35297108,1
4210.77994,53.57746841,0
3528.410587,9.028977005,1
5884.264748,83.53024956,1
2268.318025,32.0780065,1
8219.772827,18.65185104,0
1670.955793,4.077514155,1
9881.982429,59.08929432,1
7950.202924,67.75643618,1
2788.441134,1.658782893,1
1049.699054,51.20930583,0
8339.152856,22.64957752,0
7361.716095,64.51727904,1
7561.064512,17.4366429,0
7941.43312,69.09377381,1
1666.401866,38.67353463,1
4226.191557,93.67299887,0
2042.821536,13.75209441,1
8767.930833,34.10663511,0
6609.683141,11.34735212,0
3978.082224,92.46936183,0
1572.025153,87.73393534,0
3798.840895,25.79416277,1
3926.649898,65.9984046,0
7566.455605,81.72222002,1
6738.017242,55.52008116,1
8984.914683,52.96505784,1
5249.934326,24.18522909,1
2076.348213,9.310276781,1
7419.203085,89.7215758,1
7847.065438,90.04180572,1
6051.494778,63.31014573,1
7938.70462,33.9029791,0
5444.160367,34.92095746,1
5704.595464,72.59556789,1
4847.869165,89.711026,0
1228.772141,88.70864243,0
1971.022843,77.98755459,0
